TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.021333333,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.042666667,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.064000000,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.085333333,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.106666667,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.128000000,-553.39,2.45343,1.39392,-1.3113,-1.88175,-3.16313,-4.41223,-4.61872,-3.17719,-3.54158,-3.87995,-2.07855,3.04422,5.61905,3.26517,1.17955,0.926778,-2.25523,-1.49019,0.946671,-1.60353
0.149333333,-508.728,27.8706,32.0397,15.1152,-3.59193,-15.4218,-15.2052,-10.584,-5.73656,-1.14794,1.22494,3.00305,3.54687,3.80207,2.62934,1.3874,1.91632,-1.72957,-2.15496,-2.80241,-1.9901
0.170666667,-503.474,28.7737,34.3382,5.82073,-10.5858,-17.4556,-14.3906,-12.1427,-12.5392,-9.89981,-4.9395,2.25337,7.839,7.48611,5.68311,0.718481,-2.57598,-3.5898,-4.63727,-3.43074,-4.33827
0.192000000,-495.384,35.4907,30.9054,2.6986,-10.8268,-17.5861,-16.2931,-16.2591,-13.3905,-8.81113,0.125675,2.33921,2.73135,3.83946,4.73624,2.77648,-1.11481,-5.44709,-4.96422,-4.47596,-4.74429
0.213333333,-474.565,40.0894,20.43,1.02749,-3.035,-16.5359,-17.324,-10.7901,-14.2479,-12.8445,1.58094,3.65546,-1.31569,3.66869,10.0286,4.01923,-1.60227,-2.24086,-7.17885,-6.58982,-4.17682
0.234666667,-474.323,37.1484,16.9342,1.42135,0.228606,-16.9302,-24.0518,-14.7277,-13.3912,-12.5426,-1.54472,3.87355,0.0762182,4.1459,6.32138,1.36135,-1.79656,-3.75922,-5.72008,-5.82741,-5.4495
0.256000000,-476.312,38.9547,17.6033,0.0541004,-0.974948,-15.8044,-20.9517,-18.0611,-16.7279,-10.7225,2.34433,2.61388,-1.43499,1.07302,5.89918,0.378803,-4.25875,-6.15821,-5.66133,-4.18282,-6.87603
0.277333333,-473.72,37.9044,13.5156,-1.11564,0.162477,-13.7293,-19.7229,-14.6651,-16.497,-12.7349,1.28463,3.41631,-1.28124,3.81884,5.8481,0.330436,-1.96046,-5.05474,-9.4328,-7.09723,-3.95428
0.298666667,-475.462,38.497,18.0815,0.0224729,1.14769,-12.945,-15.801,-12.5151,-15.1166,-9.5741,3.02518,2.49389,-2.94683,3.80337,11.4697,5.201,-4.00119,-8.83627,-6.8146,-3.50934,-3.98003
0.320000000,-478.682,37.3654,19.4414,1.98706,1.25016,-10.0036,-13.6159,-16.0599,-20.736,-9.93739,5.30285,3.44193,-3.2068,3.53381,11.9098,3.54822,-6.55395,-7.67732,-3.92624,-3.017,-2.16606
0.341333333,-477.574,39.3575,18.6911,-5.93341,-6.11196,-9.25788,-13.5808,-18.5452,-17.7828,-5.30494,5.96488,3.11708,-4.46721,1.95826,9.28647,2.88851,-5.78832,-5.30428,-5.38027,-6.24759,-3.47184
0.362666667,-422.29,71.7142,21.9411,-4.83178,3.34068,-6.16421,-12.1335,-5.8829,-4.13817,-6.12637,2.41455,5.54841,0.760099,0.167238,4.64693,2.05041,-0.87342,-1.46722,-3.21148,-2.25332,1.33865
0.384000000,-459.657,49.4579,21.1108,0.531839,-0.791423,-10.6443,-11.1397,-13.5739,-17.4741,-8.84825,8.97513,7.76299,-3.52613,2.68063,12.042,5.39403,-2.92502,-3.91069,-3.90348,-3.11809,-2.31553
0.405333333,-462.112,46.8666,19.5583,1.22904,-0.154495,-13.2246,-16.7556,-14.5642,-18.0637,-6.1161,10.8937,4.67093,-5.80087,-0.114942,11.5935,6.25996,-1.07877,-5.1845,-4.32615,-3.51255,-3.02871
0.426666667,-464.658,46.1962,18.1049,-0.00214989,-1.14999,-14.6693,-17.1925,-15.8553,-17.9665,-8.38932,9.16068,4.7203,-5.95737,-2.01302,8.56522,8.68768,-3.21988,-6.74404,-5.27546,-3.2789,-2.6533
0.448000000,-468.897,43.7768,19.8499,2.52097,1.597,-11.1117,-15.3901,-17.6886,-18.971,-8.28502,10.0615,5.29941,-7.66202,-1.33557,13.1544,7.30429,-2.627,-7.01805,-7.42222,-6.32754,-3.1038
0.469333333,-447.219,58.2002,22.1337,1.34105,0.742083,-10.1062,-11.6883,-10.8623,-15.9701,-9.66275,7.39268,8.94477,-4.18028,-2.36795,9.0605,6.13184,-2.43033,-4.72921,-3.5834,-1.70714,-0.340913
0.490666667,-472.875,42.2449,18.698,0.390438,0.666799,-8.85617,-11.8957,-17.2282,-21.7637,-7.96521,11.2935,5.10786,-6.94525,-2.48006,8.95313,6.11645,-2.39267,-5.16819,-7.67337,-8.30819,-2.21864
