TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0,0,0,0,0,0,0,0,0,0,0,0,0
0.042666667,0,0,0,0,0,0,0,0,0,0,0,0
0.085333333,0.360188,2.78165,0.691657,0.107058,0.413249,0.123267,0.118719,0.534114,1.01357,0.00116278,0.0479197,0.0146368
0.128,0.243047,2.76003,0.47854,0.363696,0.301548,0.0301123,0.0631743,0.464752,1.13908,0,0.329519,0.158302
0.170666667,0.117875,2.7428,0.446096,0.314676,0.228775,0.0570286,0.054932,0.509982,1.15728,0,0.37298,0.213982
0.213333333,0.000257531,2.73392,0.34092,0.025392,0.161175,0.051505,0.0671152,0.17976,1.22015,0.054111,0.321358,0.36632
0.256,6.42E-05,2.7987,0.194086,0.185353,0.124663,0.0350509,0.189316,0.025819,0.875051,0.0429987,0.179299,0.364762
0.298666667,3.92E-05,2.66311,0.150625,0.355168,0.0838864,0.162304,0.378737,0.109349,0.326478,0.055664,0.0356202,0.337057
0.341333333,0.0619262,2.57487,0.133613,0.354773,0.0412808,0.149358,0.348248,0.173246,0.17621,0.12304,0.0823933,0.342391
0.384,0.0569494,2.48491,0.14715,0.307262,0.0465492,0.146257,0.354608,0.2231,0.128541,0.118252,0.0812551,0.193831
0.426666667,0.0626796,2.597,0.171925,0.256735,0.210001,0.132301,0.269099,0.18491,0.0848803,0.112307,0.045098,0.100628
0.469333333,0.176339,2.54966,0.279927,0.192921,0.410397,0.210905,0.291412,0.26634,0.573744,0.125402,0.000214531,0.00878111
0.512,0.014591,2.58878,0.455705,0.214098,0.0448939,0.0356511,0.272763,0.355125,0.342497,0.168962,0.316454,0.000778773
0.554666667,0.000648424,2.38687,0.505126,0.382111,0.0180085,0.108014,0.0400445,0.246287,0.287785,0.418927,0,0.172111
0.597333333,0.000585726,2.30137,0.561926,0.414322,0.0133173,0.0765462,0.143048,0.203221,0.216158,0.453283,4.17E-06,0.215626
0.64,0.0180295,2.21041,0.286778,0.402333,0.059715,0.114403,0.205472,0.0725697,0.0168822,0.376072,0.000576025,0.198582
0.682666667,0.113823,2.14901,0.261811,0.366849,0.19075,0.0739469,0.266526,0.0500617,0,0.38653,0.00127438,0.217569
0.725333333,0.186835,2.18755,0.438916,0.28843,0.197305,0.0478329,0.233573,0.0817176,0,0.341195,0.00143112,0.267693
0.768,0.165454,2.1889,0.462456,0.254102,0.146873,0.073929,0.216867,0.0424499,0,0.25515,0.0156576,0.297464
0.810666667,0.114694,2.52328,0.846132,0.496094,0,0.182596,0.157246,0.0201232,0.155047,0.141885,0.102311,0.277687
0.853333333,0.000606348,2.51107,0.407077,0.514551,0.051384,0.0587119,0.608789,0.306941,0.182632,0.106029,0.240413,0.000973867
0.896,0.0602147,2.53777,0.495356,0.169764,0.0151384,0.038106,0.318131,0.024155,0.052027,0.163686,0.0376104,0.000107375
0.938666667,0.0602693,2.75891,0.261873,0.0663381,0.0137173,0.0385009,0.400504,0.110819,0.0621254,0.165389,0.00463228,0
0.981333333,0.000158858,2.72701,0.186706,0,0.00272548,0.0532186,0.550128,0.138349,0.0826522,0.217759,0.00928587,0
1.024,3.13E-05,2.73357,0.176424,0,0,0.146626,0.561064,0.119894,0.0524036,0.221234,0.0754421,0
1.066666667,1.78E-06,2.79931,0.160781,0.0410612,0,0.164933,0.538455,0.105681,0.0403778,0.168744,0.102819,0
